,n_row,n_col,sigma,lr,n_iter,q_error
0,3,1,2.0,0.005,100,2.07199063043129
1,3,1,2.0,0.005,500,1.646154477907459
2,3,1,2.0,0.005,1000,1.3447386609111835
3,3,1,2.0,0.05,100,1.4280098072644591
4,3,1,2.0,0.05,500,1.0351224307580495
5,3,1,2.0,0.05,1000,1.0180542687876568
6,3,1,2.0,0.5,100,1.1912365944980152
7,3,1,2.0,0.5,500,1.0084873321092875
8,3,1,2.0,0.5,1000,0.9916571790925489
9,3,1,1.0,0.005,100,2.066503719594676
10,3,1,1.0,0.005,500,1.6180162671613467
11,3,1,1.0,0.005,1000,1.2780803783958885
12,3,1,1.0,0.05,100,1.3785892907450745
13,3,1,1.0,0.05,500,0.881838766641942
14,3,1,1.0,0.05,1000,0.8672294889336376
15,3,1,1.0,0.5,100,1.1817779733723701
16,3,1,1.0,0.5,500,0.8959675558915546
17,3,1,1.0,0.5,1000,0.8992831940965651
18,3,1,0.5,0.005,100,2.06216551926514
19,3,1,0.5,0.005,500,1.5832533159897542
20,3,1,0.5,0.005,1000,1.5059734760588075
21,3,1,0.5,0.05,100,1.3186584398071428
22,3,1,0.5,0.05,500,1.040193982288284
23,3,1,0.5,0.05,1000,1.074284310479971
24,3,1,0.5,0.5,100,0.9691459080861963
25,3,1,0.5,0.5,500,0.9001597157261184
26,3,1,0.5,0.5,1000,0.9023808697996956
